what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1364013223107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1364013226343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364013227558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364013244011
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1364013258026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364013259115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364013296721
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1364013307610
error,log,,,"Zero or negative length StyleRange 2626:0",1364013312576
error,log,,,"Zero or negative length StyleRange 2639:0",1364013312577
error,log,,,"Zero or negative length StyleRange 2660:0",1364013312578
error,log,,,"Zero or negative length StyleRange 2671:0",1364013312580
error,log,,,"Zero or negative length StyleRange 2687:0",1364013312582
error,log,,,"Zero or negative length StyleRange 2703:0",1364013312583
error,log,,,"Zero or negative length StyleRange 2760:0",1364013312584
error,log,,,"Zero or negative length StyleRange 2772:0",1364013312585
error,log,,,"Zero or negative length StyleRange 2819:0",1364013312587
error,log,,,"Zero or negative length StyleRange 2848:0",1364013312588
error,log,,,"Zero or negative length StyleRange 2906:0",1364013312589
error,log,,,"Zero or negative length StyleRange 2923:0",1364013312591
error,log,,,"Zero or negative length StyleRange 3004:0",1364013312593
error,log,,,"Zero or negative length StyleRange 3032:0",1364013312594
error,log,,,"Zero or negative length StyleRange 3055:0",1364013312596
error,log,,,"Zero or negative length StyleRange 3155:0",1364013312597
error,log,,,"Zero or negative length StyleRange 3167:0",1364013312609
error,log,,,"Zero or negative length StyleRange 3239:0",1364013312611
error,log,,,"Zero or negative length StyleRange 3284:0",1364013312613
error,log,,,"Zero or negative length StyleRange 3299:0",1364013312614
error,log,,,"Zero or negative length StyleRange 3311:0",1364013312615
error,log,,,"Zero or negative length StyleRange 3329:0",1364013312616
error,log,,,"Zero or negative length StyleRange 3352:0",1364013312617
error,log,,,"Zero or negative length StyleRange 3396:0",1364013312619
error,log,,,"Zero or negative length StyleRange 3414:0",1364013312620
error,log,,,"Zero or negative length StyleRange 3426:0",1364013312622
error,log,,,"Zero or negative length StyleRange 3444:0",1364013312623
error,log,,,"Zero or negative length StyleRange 3496:0",1364013312625
error,log,,,"Zero or negative length StyleRange 3542:0",1364013312626
error,log,,,"Zero or negative length StyleRange 3559:0",1364013312627
error,log,,,"Zero or negative length StyleRange 3575:0",1364013312629
error,log,,,"Zero or negative length StyleRange 3593:0",1364013312630
error,log,,,"Zero or negative length StyleRange 3616:0",1364013312632
error,log,,,"Zero or negative length StyleRange 3660:0",1364013312633
error,log,,,"Zero or negative length StyleRange 3678:0",1364013312634
error,log,,,"Zero or negative length StyleRange 3690:0",1364013312635
error,log,,,"Zero or negative length StyleRange 3708:0",1364013312637
error,log,,,"Zero or negative length StyleRange 3760:0",1364013312639
error,log,,,"Zero or negative length StyleRange 3806:0",1364013312641
error,log,,,"Zero or negative length StyleRange 3824:0",1364013312643
error,log,,,"Zero or negative length StyleRange 3840:0",1364013312645
error,log,,,"Zero or negative length StyleRange 3858:0",1364013312646
error,log,,,"Zero or negative length StyleRange 3881:0",1364013312648
error,log,,,"Zero or negative length StyleRange 3925:0",1364013312649
error,log,,,"Zero or negative length StyleRange 3941:0",1364013312651
error,log,,,"Zero or negative length StyleRange 3953:0",1364013312653
