what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1363313413545
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1363313413613
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1363313413625
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1363313413635
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1363313413662
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1363313413667
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1363313413694
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1363313413711
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1363313413730
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1363313413741
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1363313413748
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1363313413762
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1363313413770
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1363313413804
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1363313413822
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1363313413855
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1363313413875
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1363313413894
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1363313413907
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1363313413914
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1363313413941
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1363313413941
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1363313413965
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1363313413999
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1363313414009
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1363313414020
os,sysinfo,,,"win32",1363313414181
arch,sysinfo,,,"x86",1363313414181
ws,sysinfo,,,"win32",1363313414181
locale,sysinfo,,,"zh_CN",1363313414181
processors,sysinfo,,,"2",1363313414182
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363313414182
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1363313414182
java.specification.name,sysinfo,,,"Java Platform API Specification",1363313414182
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363313414182
java.specification.version,sysinfo,,,"1.6",1363313414182
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1363313414182
java.version,sysinfo,,,"1.6.0_20",1363313414182
java.vm.info,sysinfo,,,"mixed mode",1363313414182
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363313414182
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363313414182
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363313414182
java.vm.specification.version,sysinfo,,,"1.0",1363313414182
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1363313414182
java.vm.version,sysinfo,,,"16.3-b01",1363313414182
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1363313414835
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1363313414887
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1363313416385
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1363313416401
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100410-0300,"org.eclipse.php.debug.daemon",1363313416425
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363313416569
started,bundle,org.eclipse.php.server.core,2.2.0.v20100410-0300,"org.eclipse.php.server.core",1363313416735
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363313417456
error,log,,,"Error while restting the socket for the debug requests.",1363313418213
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1363313418384
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1363313418715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313559786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313564047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313595519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313616007
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313625453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313736556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313737474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363313737626
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1363313739180
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1363313739228
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1363313740117
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1363313740273
